APOA2	Hyperlipidemia, familial combined	
LDLR	Hyperlipidemia, combined, 1	
CNR1	Hyperlipidemia, combined, 1	
APOC3	Hyperlipidemia, combined, 1	
CYP2D6	Hyperlipidemia, combined, 1	
PTH	Hyperlipidemia, combined, 1	
C3	Hyperlipidemia, combined, 1	
APOE	Hyperlipidemia, familial combined	
HP	Hyperlipidemia, combined, 1	
APOE	Hyperlipidemia, combined, 1	
CYP3A4	Hyperlipidemia, combined, 1	
TFG	Hyperlipidemia, combined, 1	
APOC3	Hyperlipidemia, familial combined	
SHC1	Hyperlipidemia, combined, 1	
KL	Hyperlipidemia, combined, 1	
CYP2C9	Hyperlipidemia, combined, 1	
FABP2	Hyperlipidemia, familial combined	
CCR2	Hyperlipidemia, combined, 1	
AGTR2	Hyperlipidemia, combined, 1	
APOA2	Hyperlipidemia, combined, 1	
ABCB1	Hyperlipidemia, combined, 1	
SLC10A1	Hyperlipidemia, combined, 1	
F5	Hyperlipidemia, combined, 1	
FSHR	Hyperlipidemia, combined, 1	
TRH	Hyperlipidemia, combined, 1	
AGT	Hyperlipidemia, combined, 1	
CYP2C19	Hyperlipidemia, combined, 1	
ESR1	Hyperlipidemia, combined, 1	
LRP2	Hyperlipidemia, combined, 1	
ALB	Hyperlipidemia, familial combined	
F2	Hyperlipidemia, combined, 1	
APOB	Hyperlipidemia, combined, 1	
CYP3A5	Hyperlipidemia, combined, 1	
NPHS1	Hyperlipidemia, combined, 1	
NPY	Hyperlipidemia, combined, 1	
APOC1	Hyperlipidemia, combined, 1	
FN1	Hyperlipidemia, familial combined	
FABP2	Hyperlipidemia, combined, 1	
SLC25A13	Hyperlipidemia, combined, 1	
GCG	Hyperlipidemia, combined, 1	
GH1	Hyperlipidemia, combined, 1	
ADRB2	Hyperlipidemia, combined, 1	
ADM	Hyperlipidemia, combined, 1	
ESR2	Hyperlipidemia, combined, 1	
CD59	Hyperlipidemia, familial combined	
ADRB1	Hyperlipidemia, combined, 1	
GAL	Hyperlipidemia, combined, 1	
CDCP1	Hyperlipidemia, combined, 1	
ALB	Hyperlipidemia, combined, 1	
SLCO1B1	Hyperlipidemia, combined, 1	
ADRB3	Hyperlipidemia, combined, 1	
CCR7	Hyperlipidemia, combined, 1	
APOA4	Hyperlipidemia, combined, 1	
APOC2	Hyperlipidemia, combined, 1	
APOA4	Hyperlipidemia, familial combined	
APOA1	Hyperlipidemia, familial combined	
PTPRA	Hyperlipidemia, combined, 1	
CRABP2	Hyperlipidemia, familial combined	
CCR5	Hyperlipidemia, combined, 1	
CYP2C8	Hyperlipidemia, combined, 1	
F7	Hyperlipidemia, combined, 1	
CYP19A1	Hyperlipidemia, combined, 1	
SAA1	Hyperlipidemia, combined, 1	
IRS1	Hyperlipidemia, combined, 1	
CCL5	Hyperlipidemia, combined, 1	
APOA1	Hyperlipidemia, combined, 1	
MTHFR	Hyperlipidemia, combined, 1	
LDLRAP1	Hyperlipidemia, combined, 1	
AGTR1	Hyperlipidemia, combined, 1	
HTR2B	TRHR	0.8354005520686607	
ADORA1	HCAR1	0.8354005520686607	
DRD2	CCR6	0.8354005520686607	
HTR1A	KNG1	0.8407682499807351	
ADRA1A	rs1048101	0.99	
CYP2C9	rs4086116	0.99	
ABCC10	rs2125739	0.99	
HTR1B	TAS2R60	0.8354005520686607	
JAK3	IL3	0.8281207788973212	
OPRK1	SAA1	0.8407682499807351	
DRD2	CCR8	0.8354005520686607	
UGT1A6	rs6759892	0.9135172474836407	
HTR2B	CHRM3	0.8354005520686607	
GPR18	GALR2	0.8252219011119977	
GPR18	SSTR1	0.8354005520686607	
HTR1A	P2RY13	0.8354005520686607	
CHRM4	CXCL16	0.8407682499807351	
CHRM1	CCKAR	0.8252219011119977	
Olanzapine	HRH1	1	
Propafenone	CYP2C9	1	
APOE	APOE E2, APOE E3, APOE E4	0.8381682809941505	
ABCC10	rs9349256	0.99	
CHRM1	P2RY2	0.8354005520686607	
CHRM2	MTNR1B	0.8252219011119977	
Lidocaine	CYP3A4	1	
NR1I2	rs3814055	0.99	
CFH	rs1061170	0.8551864921887058	
SLC22A1	rs35167514	0.99	
Memantine	CYP2C19	1	
Quetiapine	CHRM4	1	
ADRB2	SCTR	0.8354005520686607	
P2RY12	CXCL1	0.8407682499807351	
GPR18	NPBWR2	0.8354005520686607	
HTR1D	TAS2R45	0.8354005520686607	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	SLA2	0.8638247395845513	
HTR1B	CCR5	0.8354005520686607	
HTR2B	NTSR2	0.8252219011119977	
HTR2B	CHRM5	0.8354005520686607	
HTR1D	MCHR2	0.8354005520686607	
HTR2A	TACR1	0.8252219011119977	
Glycine	GPR18	1	
HTR5A	CCL27	0.8407682499807351	
ADRB2	GPR83	0.8252219011119977	
EGFR	SH3GL2	0.8674353964859094	
HTR1B	NPY	0.833320481754769	
DRD3	NPY1R	0.8252219011119977	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	GJC2	0.818984274335209	
HRH4	GALR3	0.8252219011119977	
CHRM2	SSTR4	0.8354005520686607	
GPR18	TAS2R8	0.8354005520686607	
ADRA1B	QRFP	0.833320481754769	
HRH1	ADRA1A	0.8354005520686607	
ADRA1B	UTS2B	0.8407682499807351	
CHRM3	ADRA1A	0.8354005520686607	
Quetiapine	CYP3A4	1	
CYP2C9	CYP2C9*1, CYP2C9*2, CYP2C9*3, CYP2C9*6	0.99	
UGT1A6	UGT1A6*1a, UGT1A6*2a, UGT1A6*3a, UGT1A6*4a, UGT1A6*8	0.8953382542587163	
Pramipexole	SLC22A1	1	
Valsartan	SLCO1B1	1	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	rogid:Ze+0W0eVhC83twMz3vRT3padrsk9606	0.818984274335209	
CHRM4	PENK	0.8407682499807351	
HTR1D	PYY	0.833320481754769	
HRH1	GNA15	0.8595571341704282	
ADRB2	CLTA	0.8664089236866457	
rs1042640	UGT1A1	0.8863848717161291	
