LTA	Gastric ulcer	
EDN1	Gastric ulcer	
IL2	Gastric ulcer	
GHRL	Gastric ulcer	
ADRB3	Gastric ulcer	
CYP2C8	Gastric ulcer	
EGF	Gastric ulcer	
FGF2	Gastric ulcer	
PDGFA	Gastric ulcer	
FN1	Gastric ulcer	
ADM	Gastric ulcer	
TEK	Gastric ulcer	
BDKRB1	Gastric ulcer	
FGFR2	Gastric ulcer	
TP53	Gastric ulcer	
CYP2D6	Gastric ulcer	
OXT	Gastric ulcer	
BDKRB2	Gastric ulcer	
OXTR	Gastric ulcer	
EGFR	Gastric ulcer	
CXCL8	Gastric ulcer	
IAPP	Gastric ulcer	
ANGPT1	Gastric ulcer	
MET	Gastric ulcer	
CCK	Gastric ulcer	
CYP2C19	Gastric ulcer	
PLAT	Gastric ulcer	
SOS1	Gastric ulcer	
CYP2C9	Gastric ulcer	
BCL2	Gastric ulcer	
HGF	Gastric ulcer	
PDGFRB	Gastric ulcer	
HRH3	Gastric ulcer	
FGFR1	Gastric ulcer	
SST	Gastric ulcer	
PTGS1	Gastric ulcer	
NRG1	Gastric ulcer	
TNF	Gastric ulcer	
PTGS2	Gastric ulcer	
PDGFRA	Gastric ulcer	
GAST	Gastric ulcer	
HTR2B	TRHR	0.8354005520686607	
ADORA1	HCAR1	0.8354005520686607	
Diphenhydramine	CHRM2	1	
DRD2	CCR6	0.8354005520686607	
HTR1A	KNG1	0.8407682499807351	
ADRA1A	rs1048101	0.99	
CYP2C9	rs4086116	0.99	
HTR1B	TAS2R60	0.8354005520686607	
DRD2	CCR8	0.8354005520686607	
HTR2B	CHRM3	0.8354005520686607	
Paroxetine	CHRM2	1	
GRM5	NPS	0.8407682499807351	
HTR1A	P2RY13	0.8354005520686607	
RYR1	rs193922747	0.99	
CHRM4	CXCL16	0.8407682499807351	
IL2	IL3	0.8281207788973212	
CHRM1	CCKAR	0.8252219011119977	
APOE	APOE E2, APOE E3, APOE E4	0.8381682809941505	
CHRM1	P2RY2	0.8354005520686607	
CHRM2	MTNR1B	0.8252219011119977	
Lidocaine	CYP3A4	1	
CFH	rs1061170	0.8551864921887058	
SLC22A1	rs35167514	0.99	
ADRB2	SCTR	0.8354005520686607	
HTR1D	TAS2R45	0.8354005520686607	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	SLA2	0.8638247395845513	
HTR1B	CCR5	0.8354005520686607	
HTR2B	NTSR2	0.8252219011119977	
HTR2B	CHRM5	0.8354005520686607	
HTR1D	MCHR2	0.8354005520686607	
HTR2A	TACR1	0.8252219011119977	
ADRB2	GPR83	0.8252219011119977	
EGFR	SH3GL2	0.8674353964859094	
HTR1B	NPY	0.833320481754769	
DRD3	NPY1R	0.8252219011119977	
GRM5	TAC1	0.833320481754769	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	GJC2	0.818984274335209	
HRH4	GALR3	0.8252219011119977	
CHRM2	SSTR4	0.8354005520686607	
ADRA1B	QRFP	0.833320481754769	
HRH1	ADRA1A	0.8354005520686607	
ADRA1B	UTS2B	0.8407682499807351	
CHRM3	ADRA1A	0.8354005520686607	
Donepezil	ACHE	1	
CYP2C9	CYP2C9*1, CYP2C9*2, CYP2C9*3, CYP2C9*6	0.99	
UGT1A6	UGT1A6*1a, UGT1A6*2a, UGT1A6*3a, UGT1A6*4a, UGT1A6*8	0.8953382542587163	
Pramipexole	SLC22A1	1	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	rogid:Ze+0W0eVhC83twMz3vRT3padrsk9606	0.818984274335209	
CHRM4	PENK	0.8407682499807351	
HTR1D	PYY	0.833320481754769	
HRH1	GNA15	0.8595571341704282	
ADRB2	CLTA	0.8664089236866457	
PIK3CB	FGFR1	0.8413177913220824	
rs1042640	UGT1A1	0.8863848717161291	
CYP2C19	CYP2C19*1, CYP2C19*16, CYP2C19*2	0.99	
UGT1A	rs8330	0.9135172474836407	
ADORA1	NPB	0.8407682499807351	
complex:lAo9+jzjVOaRJSWZQvoh0G1mUDc	rogid:q6IZvGeHHY4cOWPHVW3Z7k177/w32630	0.8638247395845513	
Ibuprofen	UGT1A1	1	
CXCL5	rs352046	0.8323605674809277	
